GPS TOW [s],North,East,Up
123670,2814748.58494232,517970.791515098,5681001.37785263
123671,2814753.02979335,517960.173735283,5680999.15436963
123672,2814757.83162072,517949.304770579,5680996.83004627
123673,2814762.93956873,517938.230128832,5680994.24517697
123674,2814768.3211842,517927.104878865,5680991.48736183
123675,2814773.9223638,517916.102819272,5680988.67225309
123676,2814779.73314346,517905.221319497,5680985.67584383
123677,2814785.87071489,517894.395623482,5680982.52444536
123678,2814792.29674919,517883.614128721,5680979.23932839
123679,2814799.03811812,517872.935976042,5680975.73293064
123680,2814806.08969264,517862.359436126,5680972.09676377
123681,2814813.30042679,517851.829038109,5680968.37025845
123682,2814820.70231194,517841.444567302,5680964.52337756
123683,2814828.26526894,517831.240413734,5680960.54127408
123684,2814835.90409164,517821.324314043,5680956.57114286
123685,2814843.51007419,517811.900398964,5680952.57723915
123686,2814851.13948784,517802.97731852,5680948.57624957
123687,2814858.65361819,517794.596578201,5680944.60517654
123688,2814865.95280225,517786.769357532,5680940.73036038
123689,2814873.20699189,517779.292341773,5680936.97428728
123690,2814880.86310042,517771.495225484,5680932.79169733
123691,2814890.46330726,517756.284771063,5680947.72940959
123692,2814899.74490639,517746.749938272,5680945.85491294
123693,2814909.51331006,517738.354826833,5680940.59403082
123694,2814919.67823723,517730.05561669,5680935.08232525
123695,2814930.12955158,517722.003806988,5680929.44164946
123696,2814940.77248808,517714.347767287,5680923.7620217
123697,2814951.24282043,517707.09562529,5680918.09296124
123698,2814961.52781647,517700.153240419,5680912.52189351
123699,2814971.49450735,517693.319753627,5680907.03831483
123700,2814981.1705772,517686.529997198,5680901.84088214
123701,2814990.39251129,517679.768334953,5680896.78960957
123702,2814998.94199007,517672.93866237,5680892.19190036
123703,2815006.41782271,517665.98581187,5680888.21045958
123704,2815012.7677227,517659.036627421,5680884.86947463
123705,2815018.30325043,517652.273435872,5680881.95687686
123706,2815023.24835706,517645.730251222,5680879.35074215
123707,2815027.60383905,517639.452982266,5680877.15138044
123708,2815031.8112703,517632.894331294,5680874.92457215
123709,2815036.24388897,517625.539430054,5680872.68202564
123710,2815040.69697078,517617.777171305,5680870.52785868
123711,2815044.85814691,517609.931915252,5680868.51890094
123712,2815048.5413828,517602.170769946,5680866.7233736
